Geschlecht	Alter	GebMonat	Herkunft	Kgroesse	Kgewicht	MonMiete	Rauchen	ZufZiffer	AnzGeschw	GeschGrDoz
M	20	3	Luzern	176	68	454	0	5	2	179
M	22	11	Luzern	169	62	550	2	8	1	179
M	22	9	Bern	178	72	0	0	8	2	180
M	22	8	Aargau	170	65	665	2	6	2	176
M	21	10	Bern	164	57	0	0	6	1	178
W	19	10	Solothurn	165	49	0	0	4	1	180
W	20	9	Luzern	164	54	400	0	1	2	178
W	22	12	Iran	165	56	700	1	7	1	175
W	19	1	Bern	165	51	0	0	2	1	178
M	18	3	Italien	NA	NA	0	0	5	1	180
M	20	10	Bern	180	70	0	2	7	0	180
W	21	2	Graubuenden	172	55	0	0	2	1	174
W	21	4	Glarus	160	50	450	2	3	2	175
M	21	5	Zuerich	176	62	480	0	9	2	175
M	21	12	Bern	178	71	0	0	3	1	175
M	21	7	Bern	173	72	0	0	7	3	178
M	23	6	Bern	178	65	625	2	7	2	NA
M	23	NA	Bern	NA	NA	NA	NA	NA	NA	NA
M	22	12	Bern	185	77	700	2	4	2	170
M	23	1	Bern	183	68	600	2	7	1	175
W	19	1	Freiburg	172	NA	0	1	8	1	179
M	21	5	Freiburg	176	70	0	0	4	1	178
W	34	8	Russland	158	60	0	1	5	1	165
W	20	2	Rumaenien	180	65	0	1	6	0	167
W	27	12	Slowakei	160	50	500	0	3	1	180
W	23	10	Freiburg	176	57	400	1	4	3	175
M	29	4	Bern	180	75	300	0	7	1	172
M	19	2	Bern	188	82	0	0	0	1	171
M	20	10	Bern	179	65	0	1	7	1	165
M	19	12	Solothurn	176	77	0	1	7	3	170
M	20	4	St.Gallen	170	70	500	2	7	3	171
W	18	11	Bern	160	63	935	0	4	0	173
M	21	12	Oesterreich	187	67	250	0	6	1	177
M	20	12	Kroatien	179	63	350	1	8	0	177
W	19	1	Bern	168	52	0	1	8	2	176
M	20	4	Luzern	183	69	0	0	9	2	180
M	21	6	Luzern	180	63	0	1	4	2	173
M	20	6	Deutschland	193	70	550	0	7	0	185
W	20	9	Luzern	168	68	500	0	7	0	175
W	20	4	Solothurn	170	57	0	0	2	1	177
M	20	8	Bern	180	70	0	1	8	2	180
W	20	7	Bern	170	60	0	0	5	1	180
W	31	9	Bern	160	56	1600	1	3	2	170
M	20	5	Bern	183	68	0	0	0	1	178
W	23	3	Zuerich	165	53	412	1	3	2	175
M	23	12	Jura	187	75	0	1	5	1	173
W	21	7	Luzern	168	66	600	2	6	1	185
W	20	8	Solothurn	180	60	300	0	3	2	175
W	20	8	Luzern	169	45	240	0	8	2	180
M	23	6	Bern	176	70	0	0	5	3	178
M	22	6	Bern	170	58	0	0	2	2	181
M	19	1	Graubuenden	179	68	650	2	8	3	174
W	20	11	St.Gallen	180	83	400	0	5	2	175
W	21	10	Mazedonien	166	50	0	0	5	2	175
M	20	9	St.Gallen	183	68	270	0	7	1	174
M	19	10	Bern	163	83	0	0	0	1	175
M	19	10	Bern	184	80	0	0	7	1	173
W	18	3	Bern	163	52	0	0	9	1	178
M	20	9	Bern	179	63	0	0	8	1	177
W	21	12	Malta	182	64	0	0	5	6	162
W	24	3	Chile	174	64	600	0	5	2	178
W	23	2	Aargau	167	57	450	0	5	3	173
M	21	4	Solothurn	192	82	650	2	9	3	181
M	20	11	Bern	183	75	0	1	7	2	171
M	21	4	Bern	190	65	0	1	7	5	150
W	19	4	Solothurn	170	70	0	0	7	1	178
M	22	5	Bern	173	77	0	0	9	2	186
W	19	4	Aargau	173	65	0	0	8	3	177
W	20	10	Solothurn	164	61	0	2	3	1	180
W	20	5	Solothurn	178	71	0	0	5	3	175
M	25	1	Aargau	172	62	500	2	7	2	177
M	21	7	Basel	171	65	500	0	7	1	185
W	18	12	Bern	165	62	0	0	9	1	178
W	21	8	Freiburg	166	52	400	0	8	1	178
W	19	5	Luzern	NA	NA	550	1	4	1	185
W	22	3	Aargau	160	48	600	2	9	1	181
W	19	3	Bern	162	58	0	1	7	1	179
M	21	7	Bern	179	74	0	0	7	0	172
M	20	12	Bern	178	59	0	0	4	1	184
M	20	8	Luzern	182	66	490	0	6	2	179
M	22	10	Solothurn	167	64	675	0	8	1	180
M	18	10	Bern	181	70	0	2	7	0	185
M	18	1	Bern	174	65	0	2	8	2	183
M	20	8	Kroatien	194	91	NA	0	0	1	178
W	21	3	Unterwalden	171	58	NA	1	0	NA	179
W	19	8	Luzern	155	45	443	0	4	1	174
W	20	3	Graubuenden	170	52	473	0	7	1	174
M	19	6	Luzern	173	63	434	0	2	1	175
W	20	2	Bern	173	67	0	2	8	1	170
M	20	9	Bern	182	64	0	0	6	1	178
M	19	6	Bern	169	64	0	0	2	2	174
M	20	4	Bern	178	68	0	0	7	1	175
M	19	1	Basel	176	72	1215	0	7	1	175
W	21	10	Graubuenden	161	47	430	0	5	2	179
W	21	4	Graubuenden	165	52	580	0	9	1	180
M	20	6	Bern	182	63	0	2	7	2	175
M	20	2	Graubuenden	185	75	500	1	3	2	177
M	25	1	Bern	174	71	400	0	3	2	178
W	19	12	Bern	170	61	0	0	6	1	180
M	22	4	Bern	177	72	690	2	8	1	175
W	18	2	Bern	168	60	0	0	7	1	171
M	20	3	NA	178	70	NA	NA	7	NA	175
M	20	8	Unterwalden	173	61.5	420	0	0	1	176
M	22	10	Luzern	171	58	500	0	9	1	176
M	21	10	Aargau	184	66	0	0	8	1	177
M	18	4	Italien	172	64	0	1	5	0	173
M	18	3	Bern	175	60	0	0	7	1	174
W	19	11	Unterwalden	172	55	0	0	3	1	175
W	19	1	Bern	172	73	0	2	3	0	174
W	20	9	Luzern	165	50	0	0	8	3	175
W	19	12	Bern	160	48	0	2	9	1	172
M	20	6	Uri	182	69	465	0	1	1	173
M	20	10	NA	182	NA	0	0	1	2	176
M	21	10	Aargau	183	68	805	0	8	1	172
W	19	12	Luzern	165	63	330	1	6	4	173
W	21	10	Luzern	160	NA	440	0	4	1	175
W	18	12	St.Gallen	171	70	610	0	3	2	178
M	26	9	Bern	184	62	620	2	2	1	174
M	19	3	Bern	178	62	0	0	3	1	176
M	18	3	Bern	180	60	0	0	4	1	175
M	18	3	Bern	175	65	500	0	6	0	182
M	21	6	Luzern	182	74	550	0	8	4	184
M	19	7	St.Gallen	180	NA	420	0	2	1	177
M	20	7	Luzern	173	NA	0	2	7	2	175
M	21	1	Luzern	173	63	460	0	7	2	175
W	20	2	Neuenburg	175	62	550	2	7	1	174
M	24	3	Bern	180	65	700	0	7	1	175
W	32	2	Bern	175	68	700	0	3	1	177
M	20	9	Bern	168	62	0	0	7	2	180
M	22	5	Russland	190	70	550	1	7	1	175
M	20	6	Luzern	178	72	562.5	0	4	1	176
M	20	7	Luzern	183	73	550	2	6	1	175
M	21	7	Bern	182	70	0	0	7	2	175
W	19	1	Vaud	178	63	0	0	5	3	170
W	19	3	Bern	163	53	0	0	8	2	170
M	21	7	Mazedonien	180	85	1117	1	7	3	175
W	20	9	Solothurn	173	56	0	0	7	1	182
W	19	8	Bern	160	51	0	0	2	0	175
M	24	8	Slowakei	192	83	1035	0	8	2	177
M	23	4	Bern	178	71	0	0	6	2	180
M	21	1	Graubuenden	173	72	430	0	7	1	175
W	20	2	Solothurn	164	60	0	2	4	1	176
W	20	6	Solothurn	164	52	0	0	7	0	175
M	21	4	Deutschland	180	82	500	2	6	1	182
W	25	1	Bern	185	75	860	1	4	1	175
M	21	9	Solothurn	173	60	0	0	4	3	175
M	21	6	Solothurn	187	70	0	1	8	2	178
M	21	7	Solothurn	182	75	0	1	7	2	176
M	19	11	Luzern	178	NA	600	0	8	1	172
M	20	9	Luzern	189	76	1160	0	8	2	181
M	21	6	Bern	174	74	600	0	8	1	175
M	20	6	Bern	187	78	0	0	7	3	172
W	20	7	Bern	173	58	1200	0	2	2	173
M	20	8	Zuerich	184	75	0	0	6	1	174
W	24	8	Bern	160	NA	580	0	8	1	178
M	23	8	Bern	174	60	525	2	3	1	175
W	19	2	Bern	NA	57	0	0	4	1	175
M	21	3	Bern	182	67	0	0	6	2	174
M	20	4	Solothurn	187	78	0	0	2	1	175
M	21	7	Solothurn	175	70	0	0	6	2	172
M	19	10	Solothurn	175	67	0	1	6	2	170
M	21	3	Solothurn	174	66	0	0	7	1	175
W	22	9	Solothurn	166	53	0	0	6	3	180
M	19	8	Deutschland	187	75	1700	0	6	2	175
W	21	6	Zuerich	173	55	580	0	9	2	180
M	21	5	Solothurn	174	68	0	0	2	1	175
M	21	5	Solothurn	180	74	0	0	3	2	178
W	28	5	Aargau	171	60	420	0	5	2	175
W	19	12	Aargau	169	51	380	0	7	1	178
W	21	11	Luzern	163	55	0	0	3	3	175
W	20	6	Luzern	166	68	600	0	3	1	180
W	22	6	Bern	173	54	0	1	4	2	187
W	21	11	Luzern	168	52	550	0	7	1	178
M	21	10	Bern	183	78	0	0	9	1	178
W	20	6	Solothurn	172	55	850	1	8	1	181
M	21	8	Aargau	177	76	560	2	9	1	175
M	20	5	Aargau	183	82	330	0	8	2	174
W	20	2	Unterwalden	160	55	560	0	3	2	175
W	20	8	Bern	163	60	0	1	7	1	177
M	19	10	Portugal	170	68	0	0	9	1	170
W	20	10	Uri	160	53	520	0	3	3	175
W	19	4	Spanien	168	57	0	2	4	0	179
W	19	3	Bern	168	58	790	0	9	2	181
W	21	7	Schwyz	170	58	580	0	4	1	180
W	18	3	Bern	161	50	0	1	6	3	182
W	21	7	Aargau	157	46	500	1	7	3	180
M	21	4	Zuerich	170	65	560	0	3	0	175
M	20	8	Basel	178	72	420	1	7	0	175
W	18	2	Solothurn	169	66	0	2	8	1	178
W	20	4	NA	173	75	0	0	4	2	175
