Geschlecht	GebJahrgang	GebMonat	Herkunft	Hauptfach	Kgroesse	Kgewicht	MonMiete	Rauchen	Allergien	MW1	MW2	MW3	MW4	MW5	MW6	MW7	MW8	MW9	MW10	Geschw	AeltGeschw	GeschGewDoz	Alternativfach
m	1971	11	BE	Psychologie	179	74	1212	1	1	0	1	1	0	0	0	1	0	1	1	1	0	76	Medien
m	1984	6	BE	Soziologie	185	80	350	2	0	0	0	1	0	1	1	1	0	1	1	2	1	70	Philosophie
m	1982	10	VS	BWL	181	73	490	2	0	0	0	1	0	1	1	1	0	1	1	2	0	62	VWL
w	1987	11	BE	Soziologie	183	72	980	2	0	1	0	1	1	0	0	1	0	0	0	2	0	80	Geschichte
m	1987	2	LU	BWL	182	85	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	60	Informatik
w	1986	4	VS	BWL	168	53	450	0	0	0	0	1	0	1	1	0	0	0	0	1	1	73	Sport
w	1985	1	ZH	VWL	163	53	470	0	1	1	0	0	1	1	0	1	1	1	0	1	0	75	Intern. Bez.
w	1985	11	Deutschland	Politologie	172	NA	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	70	Geschichte
w	1986	2	BE	BWL	171	65	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	73	Psychologie
w	1987	3	BE	BWL	165	58	0	1	0	0	0	1	1	1	1	1	0	1	0	2	2	74	Medizin
w	1987	12	BE	BWL	167	75	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	75	Medien
m	1987	1	BE	BWL	197	80	0	0	0	1	1	1	0	1	1	0	0	0	1	NA	NA	73	Recht
w	1984	2	BE	VWL	170	70	600	0	0	0	0	1	0	1	1	1	0	0	1	3	1	70	Politologie
w	1988	5	Deutschland	Soziologie	169	53	0	0	NA	0	0	1	1	0	0	1	0	1	1	1	0	72	Philosophie
m	1987	2	JU	VWL	187	69	580	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	70	Intern. Bez.
m	1985	5	ZG	BWL	170	67	450	1	0	0	1	0	0	1	1	0	1	1	0	2	0	80	Psychologie
m	1985	2	AG	BWL	185	90	NA	0	1	1	0	1	0	1	0	1	0	1	0	4	3	69	Sport
m	1985	4	AG	VWL	175	75	0	0	1	0	1	0	0	1	0	1	1	0	1	3	3	72	Recht
w	1988	3	BE	BWL	166	57	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	70	Psychologie
w	1983	10	LU	BWL	169	63	640	0	0	0	1	0	0	1	0	1	1	0	0	5	2	75	VWL
m	1986	8	BL	Geschichte	175	62	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	60	Islamwiss
m	1985	2	BS	Politologie	190	84	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	68	Recht
m	1979	6	BE	BWL	180	80	444	0	1	1	1	0	0	1	0	1	1	0	0	1	0	70	Politologie
m	1987	10	Liechtenstein	BWL	168	64	690	0	1	0	0	0	1	0	1	1	1	1	1	3	3	75	Politologie
m	1980	11	VS	Politologie	180	78	500	2	0	0	0	0	1	0	0	1	0	1	0	2	0	75	Geschichte
w	1986	1	BE	Soziologie	171	60	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	80	Politologie
w	1982	8	FR	Politologie	160	55	400	1	0	0	0	0	1	0	1	0	0	1	1	3	0	75	Soziologie
w	1985	7	Deutschland	Soziologie	166	54	612	2	1	0	0	1	0	1	1	1	0	0	0	2	1	70	Psychologie
w	1988	11	SO	BWL	168	54	0	0	0	1	0	0	0	1	1	0	1	0	0	3	0	70	Kunstgeschichte
w	1982	11	USA	BWL	179	80	NA	0	0	0	1	1	1	0	0	1	0	0	1	1	0	65	Germanistik
w	1986	1	BE	Psychologie	169	55	470	0	0	0	0	1	0	1	1	1	0	0	1	2	2	78	Ethnologie
w	1985	11	LU	Politologie	173	62	510	0	1	0	1	1	1	0	0	0	1	1	1	3	3	74	
w	1986	3	FR	Politologie	183	63	450	0	0	0	0	1	0	1	1	1	0	1	0	2	0	75	Sozialarbeit
m	1986	5	BE	Politologie	180	70	0	0	0	1	0	1	1	0	1	0	0	1	0	2	2	72	Philosophie
w	1986	4	VS	VWL	173	68	450	0	1	1	1	1	0	1	0	1	1	0	0	1	1	75	Sport
